EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

Experiment: 20250617_133001_1fve
Started: 2025-06-17 13:30:03
Completed: 2025-06-17 13:37:16
Total Training Time: 7.2 minutes (0.1 hours)
Report generated: 2025-06-17 13:37:16

Configuration Settings:
------------------------------
  data_dir: N/A
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/1fv5
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/trained_models
  use_fast_ode: False
  reduced_cluster_size: 256
  hidden_dim: 256
  model_parameters: 1324102
  model_type: EvoformerODEFunc
  epochs: 1000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: None
  loss_function: Adaptive MSE
  train_proteins: 1
  val_proteins: 1
  use_sequential_loading: False
  aggressive_cleanup: True
  preliminary_training_enabled: False
  prelim_data_dir: None
  prelim_block_stride: 4
  prelim_max_epochs: 20
  prelim_early_stopping_min_delta: N/A

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

MAIN TRAINING PHASE
==================================================

Main Training Started: 2025-06-17 13:30:03
Main Training Completed: 2025-06-17 13:37:16
Main Training Duration: 7.2 minutes

Main Training Progress:
------------------------------
Epoch    Train Loss     Train Success  Val Loss       Val Success    Duration (s)
387      12.61284       1/1            12.60323       1/1            0.4         
388      12.60323       1/1            12.59321       1/1            0.4         
389      12.59321       1/1            12.58344       1/1            0.4         
390      12.58344       1/1            12.57372       1/1            0.4         
391      12.57372       1/1            12.56380       1/1            0.4         
392      12.56380       1/1            12.55327       1/1            0.4         
393      12.55327       1/1            12.54336       1/1            0.4         
394      12.54336       1/1            12.53337       1/1            0.4         
395      12.53337       1/1            12.52328       1/1            0.4         
396      12.52328       1/1            12.51069       1/1            0.4         
397      12.51069       1/1            12.50078       1/1            0.4         
398      12.50078       1/1            12.49082       1/1            0.4         
399      12.49082       1/1            12.48063       1/1            0.4         
400      12.48063       1/1            12.47064       1/1            0.4         
401      12.47064       1/1            12.46047       1/1            0.4         
402      12.46047       1/1            12.45059       1/1            0.4         
403      12.45059       1/1            12.44049       1/1            0.4         
404      12.44049       1/1            12.43044       1/1            0.4         
405      12.43044       1/1            12.42026       1/1            0.4         
406      12.42026       1/1            12.40823       1/1            0.4         
407      12.40823       1/1            12.39808       1/1            0.4         
408      12.39808       1/1            12.38817       1/1            0.4         
409      12.38817       1/1            12.37785       1/1            0.4         
410      12.37785       1/1            12.36767       1/1            0.4         
411      12.36767       1/1            12.35780       1/1            0.4         
412      12.35780       1/1            12.34780       1/1            0.4         
413      12.34780       1/1            12.33695       1/1            0.4         
414      12.33695       1/1            12.32687       1/1            0.4         
